text,label,char_length,word_count,text_clean,intent
Why was I charged for payments? You didn't warn me about additional fees.,0,73,13,why was i charged for payments you didn't warn me about additional fees,Card Fee Charge
"Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances.",0,184,36,hi i am new to this are there any additional fees or charges that i should be aware of i was looking through the app and i thought i saw something in regards to fee free allowances,Card Fee Charge
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you remove one of them as it's wrong and clearly was declined?",5,244,45,looks like my card payment was duplicated after all i went to pay at the store earlier got declined once second time it works app still stays pending for one of the payments can you remove one of them as it's wrong and clearly was declined,Duplicate Transaction
I haven't received money from a transfer?,8,41,7,i haven't received money from a transfer,Transfer Delay
Why am I being charged for withdrawing cash but haven't in the past?,4,68,13,why am i being charged for withdrawing cash but haven't in the past,Cash Withdrawal Charge
The app isn't showing my transactions,8,37,6,the app isn't showing my transactions,Transfer Delay
"Hi, My card withdrawal was declined this morning. It was working fine till yesterday. Please check and inform me.",6,113,19,hi my card withdrawal was declined this morning it was working fine till yesterday please check and inform me,Declined Withdrawal
I tried to get cash but it was declined!,6,40,9,i tried to get cash but it was declined,Declined Withdrawal
"My account got charged for taking out cash, why did this happen?",4,64,12,my account got charged for taking out cash why did this happen,Cash Withdrawal Charge
How do I dispute a direct debit on my account?,1,46,10,how do i dispute a direct debit on my account,Fraud / Disputed Payment
Why is there a fee for getting cash?,4,36,8,why is there a fee for getting cash,Cash Withdrawal Charge
I got a fee for an ATM withdrawal.,4,34,8,i got a fee for an atm withdrawal,Cash Withdrawal Charge
Why can't I withdraw funds from my account?,6,43,8,why can't i withdraw funds from my account,Declined Withdrawal
I need a refund on a direct debit that shows in the app because I did not make it.,1,82,19,i need a refund on a direct debit that shows in the app because i did not make it,Fraud / Disputed Payment
Why am I still not able to see the money I deposited a week ago? This is urgent!!,2,81,18,why am i still not able to see the money i deposited a week ago this is urgent,Deposit Delay
How do I dispute a debit that I didn't make?,1,44,10,how do i dispute a debit that i didn't make,Fraud / Disputed Payment
Are there ATM fees?,4,19,4,are there atm fees,Cash Withdrawal Charge
"I deposited a cheque with some money, but the balance hasn't changed.",2,69,12,i deposited a cheque with some money but the balance hasn't changed,Deposit Delay
"hey, I think someone stole my card numbers. There is a purchase showing up on my app from a store pretty far away from me.. I really need that money back to pay my rent.",1,169,35,hey i think someone stole my card numbers there is a purchase showing up on my app from a store pretty far away from me i really need that money back to pay my rent,Fraud / Disputed Payment
After making a transfer from a UK account it's not showing up. How long do these transfers normally take for you? I want to be certain everything is all right.,9,159,30,after making a transfer from a uk account it's not showing up how long do these transfers normally take for you i want to be certain everything is all right,Missing Money
"I tried to withdraw some funds from my card, but was declined. How can I get my money?",6,86,18,i tried to withdraw some funds from my card but was declined how can i get my money,Declined Withdrawal
Why could I not get cash?,6,25,6,why could i not get cash,Declined Withdrawal
I used my card to get cash then I was charged a fee that I shouldn't have been charged.,4,87,19,i used my card to get cash then i was charged a fee that i shouldn't have been charged,Cash Withdrawal Charge
"Hi, I was at a restaurant later the week and when I went to look at my account I noticed that I got charged twice. I would like to get my money back from one of those transactions.",5,180,38,hi i was at a restaurant later the week and when i went to look at my account i noticed that i got charged twice i would like to get my money back from one of those transactions,Duplicate Transaction
I was made to pay a fee for making a transaction with card.,0,59,13,i was made to pay a fee for making a transaction with card,Card Fee Charge
"I completed a transfer within the UK two days ago, but it is still not showing received.  I have verified the account number is correct already.  Is there anything else I need to do or is there a problem?",8,204,41,i completed a transfer within the uk two days ago but it is still not showing received i have verified the account number is correct already is there anything else i need to do or is there a problem,Transfer Delay
What are some reasons that would cause ATM machines to decline my card? It has happened to me multiple times!,6,109,20,what are some reasons that would cause atm machines to decline my card it has happened to me multiple times,Declined Withdrawal
My ATM transaction was unsuccessful.,6,36,5,my atm transaction was unsuccessful,Declined Withdrawal
I have a duplicate payment on my card.,5,38,8,i have a duplicate payment on my card,Duplicate Transaction
Why am I not able to get cash from the ATM?,6,43,11,why am i not able to get cash from the atm,Declined Withdrawal
Where is my transfer from [country]?,9,36,6,where is my transfer from country,Missing Money
I have been charged twice for the same transaction.,5,51,9,i have been charged twice for the same transaction,Duplicate Transaction
My money transaction can't be seen by the person I sent it to,8,61,13,my money transaction can't be seen by the person i sent it to,Transfer Delay
I deposited money but my balance hasn't been updated yet.,2,57,10,i deposited money but my balance hasn't been updated yet,Deposit Delay
I requested a higher amount for my cash withdrawal,3,50,9,i requested a higher amount for my cash withdrawal,ATM Partial Withdrawal
i asked for 100 only got 80,3,27,7,i asked for 100 only got 80,ATM Partial Withdrawal
There's a debit on my account that I didn't do.,1,47,10,there's a debit on my account that i didn't do,Fraud / Disputed Payment
I can't get cash from the ATM!,6,30,7,i can't get cash from the atm,Declined Withdrawal
Why was I charged a fee when I paid with card?,0,46,11,why was i charged a fee when i paid with card,Card Fee Charge
The ATM wouldn't allow me to withdraw money,6,43,8,the atm wouldn't allow me to withdraw money,Declined Withdrawal
i used a check check yesterday to balance my account and it isn't showing up?,2,77,15,i used a check check yesterday to balance my account and it isn't showing up,Deposit Delay
My account balance has not updated to reflect my recent transfer.,9,65,11,my account balance has not updated to reflect my recent transfer,Missing Money
I am angry that I got charged for using my card.,0,48,11,i am angry that i got charged for using my card,Card Fee Charge
Let me know when applying extra charges for payments. I just checked the app and saw a fee that I wasn't warned about.,0,118,23,let me know when applying extra charges for payments i just checked the app and saw a fee that i wasn't warned about,Card Fee Charge
I think something may have happened that caused a charge to show up twice.,5,74,14,i think something may have happened that caused a charge to show up twice,Duplicate Transaction
This transfer incurred a fee that I don't think is right.,7,57,11,this transfer incurred a fee that i don't think is right,Transfer Fee
I got charged in double and want a refund,5,41,9,i got charged in double and want a refund,Duplicate Transaction
I just made an order and noticed an extra fee. Why have you charged me this without informing me?,0,97,19,i just made an order and noticed an extra fee why have you charged me this without informing me,Card Fee Charge
"Looks like my card payment was made two time by mistake. I went to pay at the store earlier which rejected once, second time it worked. App is on pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",5,252,49,looks like my card payment was made two time by mistake i went to pay at the store earlier which rejected once second time it worked app is on pending for one of the payments can you please remove one of them as it's wrong and clearly was declined,Duplicate Transaction
There was a strange transaction made on my account a couple weeks ago by a seller I don't recognize. May you please check on this transaction for me.,1,149,28,there was a strange transaction made on my account a couple weeks ago by a seller i don't recognize may you please check on this transaction for me,Fraud / Disputed Payment
My card got charged twice for the same thing!,5,45,9,my card got charged twice for the same thing,Duplicate Transaction
What is the fee charged with this card payment?,0,47,9,what is the fee charged with this card payment,Card Fee Charge
I transferred some money but the recipient is having trouble withdrawing.,8,73,11,i transferred some money but the recipient is having trouble withdrawing,Transfer Delay
I wanted to know why i got an additional fee when i use my card.,0,64,15,i wanted to know why i got an additional fee when i use my card,Card Fee Charge
What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct.,3,137,30,what do i need to do to get cash back the atm gave me the wrong amount that i requested but the app is showing the amount to be correct,ATM Partial Withdrawal
When will my transfer come through?,9,35,6,when will my transfer come through,Missing Money
I sent money and the recipient has not received their money after two weeks.,8,76,14,i sent money and the recipient has not received their money after two weeks,Transfer Delay
The amount of time that transfers usually take from a UK account is what?I just completed a transfer and it is not showing up at all. I'm wondering at this point if everything is actually okay.,9,193,36,the amount of time that transfers usually take from a uk account is what i just completed a transfer and it is not showing up at all i'm wondering at this point if everything is actually okay,Missing Money
Please check payments on my card. There is a duplicate and I only bought it once.,5,81,16,please check payments on my card there is a duplicate and i only bought it once,Duplicate Transaction
"I was charged for a cash withdrawal, why?",4,41,8,i was charged for a cash withdrawal why,Cash Withdrawal Charge
Is there something wrong with my ATM Card?  Tried using it earlier and it did not work.,6,87,18,is there something wrong with my atm card tried using it earlier and it did not work,Declined Withdrawal
"I have an unknown debit charge in my statement, why?",1,52,10,i have an unknown debit charge in my statement why,Fraud / Disputed Payment
Why is my transfer more expensive than I thought?,7,49,9,why is my transfer more expensive than i thought,Transfer Fee
So I just went to the ATM to get some cash.  I input that I needed 100 pounds but I only got 80.  I have the receipt  and I am in need of the extra money.  How do I go about obtaining the missing amount?,3,203,49,so i just went to the atm to get some cash i input that i needed 100 pounds but i only got 80 i have the receipt and i am in need of the extra money how do i go about obtaining the missing amount,ATM Partial Withdrawal
My money transaction hasn't arrived.,8,36,5,my money transaction hasn't arrived,Transfer Delay
I was not able to use the ATM to get cash,6,41,11,i was not able to use the atm to get cash,Declined Withdrawal
I had to pay money for paying with my card.,0,43,10,i had to pay money for paying with my card,Card Fee Charge
Is it normal to see a fee for transferring money?,7,49,10,is it normal to see a fee for transferring money,Transfer Fee
Why did I get less money than I asked for?,3,42,10,why did i get less money than i asked for,ATM Partial Withdrawal
Why was I charged for getting cash?,4,35,7,why was i charged for getting cash,Cash Withdrawal Charge
The right amount of cash was not sent to me.,3,44,10,the right amount of cash was not sent to me,ATM Partial Withdrawal
When will my cheque be processed?,2,33,6,when will my cheque be processed,Deposit Delay
Cash has been deposited this morning but it hasn't came through.,2,64,11,cash has been deposited this morning but it hasn't came through,Deposit Delay
I paid with card and I was charged a fee,0,40,10,i paid with card and i was charged a fee,Card Fee Charge
Have you started charging for cash withdrawals? I always thought it was free until I noticed this fee. How much is the fee?,4,123,23,have you started charging for cash withdrawals i always thought it was free until i noticed this fee how much is the fee,Cash Withdrawal Charge
I was charged an extra fee for a card payment. I was unaware of these fees beforehand.,0,86,17,i was charged an extra fee for a card payment i was unaware of these fees beforehand,Card Fee Charge
The balance has not been updated.,9,33,6,the balance has not been updated,Missing Money
I transferred money but the recipient says it has not arrived. Why would this be?,8,81,15,i transferred money but the recipient says it has not arrived why would this be,Transfer Delay
Why did I have to pay extra because I paid with card?,0,53,12,why did i have to pay extra because i paid with card,Card Fee Charge
when will my transfer arrive,8,28,5,when will my transfer arrive,Transfer Delay
Please tell me why I was charged additionally when I used the card.,0,67,13,please tell me why i was charged additionally when i used the card,Card Fee Charge
I got less cash than the one I specified in the ATM,3,51,12,i got less cash than the one i specified in the atm,ATM Partial Withdrawal
I sent money for my rent to my landlord but she is claiming it hasn't arrived in her account  Can you trace the transfer I made to make sure it arrived so I can provide proof I sent it and that it has been deposited?,8,216,46,i sent money for my rent to my landlord but she is claiming it hasn't arrived in her account can you trace the transfer i made to make sure it arrived so i can provide proof i sent it and that it has been deposited,Transfer Delay
There's a direct debit on my account that I didn't authorize,1,60,11,there's a direct debit on my account that i didn't authorize,Fraud / Disputed Payment
I was charged extra for a withdrawal,4,36,7,i was charged extra for a withdrawal,Cash Withdrawal Charge
I noticed additional charges when transferring?,7,47,6,i noticed additional charges when transferring,Transfer Fee
The recipient doesn't see the money transaction I made,8,54,9,the recipient doesn't see the money transaction i made,Transfer Delay
Help! My card isn't working at the ATM and I know I used the right PIN. Trying to get my money.,6,95,21,help my card isn't working at the atm and i know i used the right pin trying to get my money,Declined Withdrawal
did not receive correct cash upon withdrawal,3,44,7,did not receive correct cash upon withdrawal,ATM Partial Withdrawal
I was only given $20 after trying to withdraw $100,3,50,10,i was only given 20 after trying to withdraw 100,ATM Partial Withdrawal
It appears that I am being double charged for some items that I have purchased this past week.  Please review and correct.,5,122,23,it appears that i am being double charged for some items that i have purchased this past week please review and correct,Duplicate Transaction
I need to know if everything is okay here. After making a transfer from a UK account it doesn't show up. How long does this normally take to process?,9,149,29,i need to know if everything is okay here after making a transfer from a uk account it doesn't show up how long does this normally take to process,Missing Money
"I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back?",5,115,24,i had a duplicate card and bought something and it showed up twice i canceled my card how do i get my money back,Duplicate Transaction
This debit is not my transcation. How do I get my money out back?,1,65,14,this debit is not my transcation how do i get my money out back,Fraud / Disputed Payment
The ATM isn't giving out any money.,6,35,7,the atm isn't giving out any money,Declined Withdrawal
There was a charge made on my card from a couple weeks ago and I don't remember making the purchase. Nor do I remember the company itself. Can we trace this at all to confirm if I did it or not?,1,194,41,there was a charge made on my card from a couple weeks ago and i don't remember making the purchase nor do i remember the company itself can we trace this at all to confirm if i did it or not,Fraud / Disputed Payment
Why did the ATM give me less money than what I requested?,3,57,12,why did the atm give me less money than what i requested,ATM Partial Withdrawal
I think I am a victim of fraud.  I noticed there was a charge on my account that I didn't do because I haven't touched my card today.  Can you please reverse the charge and refund my money?,1,189,40,i think i am a victim of fraud i noticed there was a charge on my account that i didn't do because i haven't touched my card today can you please reverse the charge and refund my money,Fraud / Disputed Payment
I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this?,2,194,36,i need my account checked because it appears there is a problem i attempted to update my balance yesterday using cheque but it doesn't seem to have worked should this not be faster than this,Deposit Delay
how do i avoid charges in the future,0,36,8,how do i avoid charges in the future,Card Fee Charge
I didn't buy this twice,5,23,5,i didn't buy this twice,Duplicate Transaction
Can you please explain why I was charged an extra fee for my transfer?,7,70,14,can you please explain why i was charged an extra fee for my transfer,Transfer Fee
The atm didn'y give me all the cash,3,35,8,the atm didn'y give me all the cash,ATM Partial Withdrawal
Why is my check still not showing up on my account? It's been a week already,2,76,16,why is my check still not showing up on my account it's been a week already,Deposit Delay
I want a refund on a direct debit.,1,34,8,i want a refund on a direct debit,Fraud / Disputed Payment
My account was charged a debit payment I don't recognize.,1,57,10,my account was charged a debit payment i don't recognize,Fraud / Disputed Payment
Do cash withdrawals cost anything?,4,34,5,do cash withdrawals cost anything,Cash Withdrawal Charge
Why did you charge me for a cash withdrawal?,4,44,9,why did you charge me for a cash withdrawal,Cash Withdrawal Charge
The cash I tried to draw from the ATM was not approved.,6,55,12,the cash i tried to draw from the atm was not approved,Declined Withdrawal
I need to check status as my friend hasn't got money I sent.,8,60,13,i need to check status as my friend hasn't got money i sent,Transfer Delay
Why hasn't my money transfer shown up yet?,9,42,8,why hasn't my money transfer shown up yet,Missing Money
"Even though I made a cash deposit, I am not seeing it in my account.",2,68,15,even though i made a cash deposit i am not seeing it in my account,Deposit Delay
I tried withdrawing but my cash is not showing up?,3,50,10,i tried withdrawing but my cash is not showing up,ATM Partial Withdrawal
"There are multiple instances where you added a fee to the payment, as well as some where you didn't. Do you have an outline of when a fee will be added?",0,152,31,there are multiple instances where you added a fee to the payment as well as some where you didn't do you have an outline of when a fee will be added,Card Fee Charge
Why was I declined getting cash?,6,32,6,why was i declined getting cash,Declined Withdrawal
Why do I have a charge for an ATM withdrawal? I thought these were free?,4,72,15,why do i have a charge for an atm withdrawal i thought these were free,Cash Withdrawal Charge
What do I do if I've been charged twice for the same transaction?,5,65,13,what do i do if i've been charged twice for the same transaction,Duplicate Transaction
Why am I being charged extra when I withdrew money?,4,51,10,why am i being charged extra when i withdrew money,Cash Withdrawal Charge
What's up with the extra fee I got?,4,35,8,what's up with the extra fee i got,Cash Withdrawal Charge
"I have not used my card all day, however, there is an unusual payment showing in my app.  I would like to have that amount reimbursed.",1,134,27,i have not used my card all day however there is an unusual payment showing in my app i would like to have that amount reimbursed,Fraud / Disputed Payment
I tried to get $100 but I just got $20,3,38,10,i tried to get 100 but i just got 20,ATM Partial Withdrawal
Why was I not able to get cash from the ATM?,6,44,11,why was i not able to get cash from the atm,Declined Withdrawal
I didn't receive the correct amount of cash,3,43,8,i didn't receive the correct amount of cash,ATM Partial Withdrawal
Weird Direct Debit payment,1,26,4,weird direct debit payment,Fraud / Disputed Payment
Why am I being charged certain fees? I noticed a fee after I withdrew some money for groceries earlier today.,4,109,20,why am i being charged certain fees i noticed a fee after i withdrew some money for groceries earlier today,Cash Withdrawal Charge
Why did I get charged for withdrawing cash?,4,43,8,why did i get charged for withdrawing cash,Cash Withdrawal Charge
Why am I getting double charged for multiple transactions?,5,58,9,why am i getting double charged for multiple transactions,Duplicate Transaction
Is there a transfer fee?,7,24,5,is there a transfer fee,Transfer Fee
I tried to withdraw 50 pounds but it only gave me 30. Where is the rest of my money?,3,84,19,i tried to withdraw 50 pounds but it only gave me 30 where is the rest of my money,ATM Partial Withdrawal
Anytime I've made an ATM withdrawal before it has always been free. I now say that I have been charged for my most recent ATM withdrawal. What's going on here?,4,159,30,anytime i've made an atm withdrawal before it has always been free i now say that i have been charged for my most recent atm withdrawal what's going on here,Cash Withdrawal Charge
Why are there fees for card usage?,0,34,7,why are there fees for card usage,Card Fee Charge
In the past month I often used this account to manage payments for my new holiday villa. Now all of a sudden your fees have increased exorbitantly! Don't you have a rewards programme for frequent users?,7,202,36,in the past month i often used this account to manage payments for my new holiday villa now all of a sudden your fees have increased exorbitantly don't you have a rewards programme for frequent users,Transfer Fee
I am seeing a direct debit I wasn't aware of.,1,45,10,i am seeing a direct debit i wasn't aware of,Fraud / Disputed Payment
I tried making an update to my balance using cheque just yesterday but it doesn't appear to have worked. Should this not be a faster process? I need you to please check over my account because something has went wrong.,2,218,40,i tried making an update to my balance using cheque just yesterday but it doesn't appear to have worked should this not be a faster process i need you to please check over my account because something has went wrong,Deposit Delay
"So, I see a strange fee that I've never seen before after making an online purchase from abroad. I was under the impression transfers could be made for free. I don't think this seems fair.",7,188,35,so i see a strange fee that i've never seen before after making an online purchase from abroad i was under the impression transfers could be made for free i don't think this seems fair,Transfer Fee
How long does a check take to show up in the account balance?,2,61,13,how long does a check take to show up in the account balance,Deposit Delay
Why is my cash request and the amount I received different?,3,59,11,why is my cash request and the amount i received different,ATM Partial Withdrawal
I had to pay a fee when buying items with my card.,0,50,12,i had to pay a fee when buying items with my card,Card Fee Charge
I think a fee was applied for paying with a card.,0,49,11,i think a fee was applied for paying with a card,Card Fee Charge
My transfer is pending.,9,23,4,my transfer is pending,Missing Money
I transfered my balance a while back.  Why doesn't my account reflect this?,9,75,14,i transfered my balance a while back why doesn't my account reflect this,Missing Money
Why are you charging me for ATM withdrawal? It has always been free before.,4,75,14,why are you charging me for atm withdrawal it has always been free before,Cash Withdrawal Charge
I would like to dispute a direct debit transaction,1,50,9,i would like to dispute a direct debit transaction,Fraud / Disputed Payment
I was charged a fee for withdrawing cash.,4,41,8,i was charged a fee for withdrawing cash,Cash Withdrawal Charge
I sent money to a person and they haven't received the payment yet.,8,67,13,i sent money to a person and they haven't received the payment yet,Transfer Delay
"Is there a fee when I get cash from an ATM? Is there a limit I can take out? If there is a fee, what is it?",4,107,27,is there a fee when i get cash from an atm is there a limit i can take out if there is a fee what is it,Cash Withdrawal Charge
What happened to the cash that I tried to deposit into my account? It's gone!,2,77,15,what happened to the cash that i tried to deposit into my account it's gone,Deposit Delay
"I deposited money in the form of a cheque, but my balance has not increased.",2,76,15,i deposited money in the form of a cheque but my balance has not increased,Deposit Delay
I transferred money to my account but it is not showing.,9,56,11,i transferred money to my account but it is not showing,Missing Money
"i made a payment with my card and was charged a fee, why would you do that",0,74,17,i made a payment with my card and was charged a fee why would you do that,Card Fee Charge
I couldn't get the money I needed.,3,34,7,i couldn't get the money i needed,ATM Partial Withdrawal
Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet.,8,138,25,why hasn't my in country transfer gone through yet i confirmed the account info a couple days ago but the payment hasn't been posted yet,Transfer Delay
"Hi, I made a transfer from France two days ago and thought it would be here by now. Can you give me an update please?",9,117,25,hi i made a transfer from france two days ago and thought it would be here by now can you give me an update please,Missing Money
I am just waiting for the transaction to be completed.,8,54,10,i am just waiting for the transaction to be completed,Transfer Delay
I did a transfer and was charged a fee that should not have been charged!,7,73,15,i did a transfer and was charged a fee that should not have been charged,Transfer Fee
"More fees, this time for withdrawing my own cash. Why are you robbing me?",4,73,14,more fees this time for withdrawing my own cash why are you robbing me,Cash Withdrawal Charge
I sent some money and the receiver can't access it.,8,51,10,i sent some money and the receiver can't access it,Transfer Delay
How long does it take for money to reach my account?,9,52,11,how long does it take for money to reach my account,Missing Money
It kept my cash,3,15,4,it kept my cash,ATM Partial Withdrawal
I found a transfer fee - is that correct?,7,41,9,i found a transfer fee is that correct,Transfer Fee
"Transferred to account is not successful, help please?",9,54,8,transferred to account is not successful help please,Missing Money
I am still currently waiting for the cash that has been deposited into the account this morning.,2,96,17,i am still currently waiting for the cash that has been deposited into the account this morning,Deposit Delay
Where is my cash deposit in my balance?,2,39,8,where is my cash deposit in my balance,Deposit Delay
Why did I not get the amount I specified at the ATM?,3,52,12,why did i not get the amount i specified at the atm,ATM Partial Withdrawal
I might need a new card because it's not working at any of the ATMs. I don't think ive used all my money. Why is it doing this?,6,127,28,i might need a new card because it's not working at any of the atms i don't think ive used all my money why is it doing this,Declined Withdrawal
I made a money transaction but the recipient can't see it,8,57,11,i made a money transaction but the recipient can't see it,Transfer Delay
I attempted to get cash in the ATM but I was denied,6,51,12,i attempted to get cash in the atm but i was denied,Declined Withdrawal
Why was my request for cash declined?,6,37,7,why was my request for cash declined,Declined Withdrawal
"I just saw a charge for a cash withdrawal that I made! ATM withdrawals have always been free in the past, so why is there suddenly a charge? What is it going to cost me now?",4,173,36,i just saw a charge for a cash withdrawal that i made atm withdrawals have always been free in the past so why is there suddenly a charge what is it going to cost me now,Cash Withdrawal Charge
Why couldn't I get cash from an ATM?,6,36,8,why couldn't i get cash from an atm,Declined Withdrawal
"Why did I get charged for something I bought online? Even though it was international, I thought it would be covered.",7,117,21,why did i get charged for something i bought online even though it was international i thought it would be covered,Transfer Fee
I was declined when I tried to take out cash!,6,45,10,i was declined when i tried to take out cash,Declined Withdrawal
Why am I charged a fee for withdrawing cash?,4,44,9,why am i charged a fee for withdrawing cash,Cash Withdrawal Charge
what is the matter?,1,19,4,what is the matter,Fraud / Disputed Payment
I am having an issue with an in country transfer I did a few days ago. It has yet to appear in my account. I have checked to be sure that all account information is correct multiple times. What is taking the transfer so long?,8,225,45,i am having an issue with an in country transfer i did a few days ago it has yet to appear in my account i have checked to be sure that all account information is correct multiple times what is taking the transfer so long,Transfer Delay
Why was there an extra charge because I used my card to pay?,0,60,13,why was there an extra charge because i used my card to pay,Card Fee Charge
"My husband and I went out for our weekly ""dinner and a movie,"" and it was my turn to pick up the check. Now I see that my card was charged twice. Who should I contact about negating the second charge and getting my card credited?",5,229,46,my husband and i went out for our weekly dinner and a movie and it was my turn to pick up the check now i see that my card was charged twice who should i contact about negating the second charge and getting my card credited,Duplicate Transaction
How come I got charged extra for withdrawing cash?,4,50,9,how come i got charged extra for withdrawing cash,Cash Withdrawal Charge
"It seems my card payment was completed twice. I paid at the store previously and the first one did not seem to go through. After a second attempt, it did go through. I now see within the app that I have been charged twice with one of them pending. Can you please remove the pending amount because it is clearly something that was declined?",5,339,64,it seems my card payment was completed twice i paid at the store previously and the first one did not seem to go through after a second attempt it did go through i now see within the app that i have been charged twice with one of them pending can you please remove the pending amount because it is clearly something that was declined,Duplicate Transaction
"Hi, I want to inquire about my balance. Some cash was deposited and it hasn't updated yet.",2,90,17,hi i want to inquire about my balance some cash was deposited and it hasn't updated yet,Deposit Delay
How do I avoid getting charged a fee on my card?,0,48,11,how do i avoid getting charged a fee on my card,Card Fee Charge
Why can I not get cash from the ATM?,6,36,9,why can i not get cash from the atm,Declined Withdrawal
Do you have charges now when you pay with a card?,0,49,11,do you have charges now when you pay with a card,Card Fee Charge
I don't recognize this debit transaction in my billing statement?,1,65,10,i don't recognize this debit transaction in my billing statement,Fraud / Disputed Payment
"I made a transfer and the receiver said an amount was received, but not exactly the same as the right amount. I now have to transfer more to get the remainder to the receiver. Can you alert me about this. What's been happening?",7,227,43,i made a transfer and the receiver said an amount was received but not exactly the same as the right amount i now have to transfer more to get the remainder to the receiver can you alert me about this what's been happening,Transfer Fee
"I just went through a old statement and noticed that a very large payment went through and i did not make it. It was from a few months ago, can I still dispute the payment?",1,172,35,i just went through a old statement and noticed that a very large payment went through and i did not make it it was from a few months ago can i still dispute the payment,Fraud / Disputed Payment
Why did I get a fee?,4,20,6,why did i get a fee,Cash Withdrawal Charge
What do I do if the ATM didn't give me the correct amount I withdrew? I pulled out 30 pounds and the ATM gave me 10 pounds.,3,123,27,what do i do if the atm didn't give me the correct amount i withdrew i pulled out 30 pounds and the atm gave me 10 pounds,ATM Partial Withdrawal
There was a direct debit transaction I have don't think should be there.,1,72,13,there was a direct debit transaction i have don't think should be there,Fraud / Disputed Payment
